RUTA,FECHA,DIA SEMANA,HORA PREVIA,PARADA,ORIENTACION,HORA CAMION
1,13-08-2021,4,08:58:00,122,0,09:18:00
3,06-05-2020,2,22:43:00,94,0,23:03:00
3,03-01-2023,1,19:42:00,82,1,20:02:00
3,25-08-2020,1,06:54:00,29,1,07:14:00
1,17-09-2022,5,16:14:00,99,0,16:34:00
2,07-07-2020,1,07:12:00,4,0,07:52:00
3,15-01-2020,2,10:39:00,42,1,10:59:00
3,02-04-2022,5,10:56:00,72,1,11:16:00
3,07-11-2022,0,20:26:00,67,0,20:46:00
3,27-06-2020,5,23:39:00,88,0,23:59:00
2,13-02-2020,3,07:11:00,3,1,07:51:00
3,22-11-2022,1,20:35:00,31,1,20:55:00
1,13-04-2021,1,06:04:00,56,1,06:24:00
1,28-03-2022,0,08:25:00,84,1,08:45:00
3,25-05-2022,2,10:26:00,66,0,10:46:00
2,30-07-2021,4,05:38:00,41,1,06:18:00
1,28-02-2021,6,16:55:00,28,0,17:15:00
1,13-01-2022,3,08:21:00,104,1,08:41:00
1,27-10-2021,2,06:42:00,105,1,07:02:00
2,05-07-2021,0,06:23:00,48,0,07:03:00
3,10-02-2020,0,07:06:00,100,0,07:26:00
1,17-03-2021,2,20:38:00,123,0,20:58:00
3,20-01-2020,0,18:48:00,70,0,19:08:00
2,24-12-2021,4,10:53:00,91,0,11:33:00
3,16-06-2022,3,12:01:00,58,0,12:21:00
2,11-07-2020,5,14:57:00,40,1,15:37:00
1,12-04-2022,1,08:20:00,102,1,08:40:00
3,15-11-2022,1,23:07:00,39,0,23:27:00
3,22-02-2022,1,20:34:00,29,1,20:54:00
1,05-10-2020,0,06:18:00,132,1,06:38:00
2,03-07-2021,5,06:48:00,29,0,07:28:00
3,28-11-2021,6,06:34:00,28,1,06:54:00
2,07-10-2022,4,17:25:00,76,0,18:05:00
3,27-05-2021,3,21:02:00,8,1,21:22:00
3,05-03-2022,5,17:02:00,6,0,17:22:00
1,27-10-2021,2,08:13:00,73,0,08:33:00
2,28-03-2020,5,08:39:00,68,1,09:19:00
3,10-03-2022,3,09:56:00,51,0,10:16:00
1,03-09-2020,3,07:36:00,119,0,07:56:00
3,31-03-2020,1,07:23:00,62,0,07:43:00
3,25-01-2021,0,16:15:00,24,0,16:35:00
1,02-10-2021,5,07:11:00,69,0,07:31:00
3,18-06-2021,4,18:36:00,52,0,18:56:00
2,21-01-2022,4,13:50:00,1,0,14:30:00
3,12-02-2022,5,15:22:00,34,0,15:42:00
2,23-05-2021,6,16:21:00,46,0,17:01:00
2,17-09-2022,5,15:24:00,75,0,16:04:00
3,06-05-2022,4,22:36:00,51,0,22:56:00
1,26-03-2021,4,08:49:00,115,1,09:09:00
1,09-04-2020,3,10:13:00,48,0,10:33:00
3,23-12-2021,3,05:56:00,33,1,06:16:00
2,14-06-2022,1,11:31:00,31,1,12:11:00
1,02-11-2022,2,04:50:00,16,1,05:10:00
1,06-11-2020,4,09:26:00,14,0,09:46:00
3,10-04-2021,5,11:33:00,27,1,11:53:00
2,22-01-2023,6,10:55:00,92,0,11:35:00
3,12-11-2021,4,10:43:00,84,1,11:03:00
2,30-05-2022,0,08:44:00,75,0,09:24:00
2,03-12-2022,5,08:40:00,19,0,09:20:00
1,17-01-2020,4,05:51:00,69,1,06:11:00
2,05-06-2020,4,19:00:00,44,0,19:40:00
1,10-05-2020,6,05:26:00,60,1,05:46:00
2,18-12-2020,4,19:02:00,47,1,19:42:00
3,26-03-2020,3,15:43:00,62,0,16:03:00
2,30-06-2021,2,19:20:00,19,0,05:20:00
3,03-09-2022,5,11:41:00,4,0,12:01:00
1,14-02-2022,0,07:35:00,27,0,07:55:00
1,19-01-2022,2,10:35:00,124,1,10:55:00
3,29-03-2020,6,20:54:00,30,1,21:14:00
2,29-05-2020,4,16:02:00,71,0,16:42:00
