RUTA,FECHA,DIA SEMANA,HORA PREVIA,PARADA,ORIENTACION,HORA CAMION
231,10-06-2020,2,15:20:00,129,0,15:40:00
231,14-01-2023,5,12:56:00,76,0,13:16:00
231,25-09-2021,5,09:22:00,36,0,09:42:00
231,01-01-2023,6,00:00,8,0,07:03:00
231,17-12-2022,5,20:35:00,27,0,20:55:00
231,10-05-2020,6,10:30:00,20,0,10:50:00
231,28-03-2022,0,08:59:00,126,0,09:19:00
231,30-09-2021,3,20:01:00,4,0,20:21:00
231,05-11-2022,5,21:06:00,40,0,21:26:00
231,03-04-2021,5,12:28:00,17,0,12:48:00
231,31-08-2022,2,15:45:00,109,0,16:05:00
231,19-04-2020,6,20:34:00,73,0,20:54:00
231,31-12-2021,4,14:12:00,46,0,14:32:00
231,17-02-2020,0,14:37:00,30,0,14:57:00
231,29-11-2021,0,16:39:00,126,0,16:59:00
231,23-02-2021,1,09:31:00,21,0,09:51:00
231,18-01-2021,0,17:09:00,67,0,17:29:00
231,30-03-2022,2,13:02:00,7,0,13:22:00
231,11-10-2020,6,14:41:00,83,0,15:01:00
231,02-03-2021,1,17:09:00,94,0,17:29:00
231,29-04-2020,2,09:26:00,40,0,09:46:00
231,29-04-2022,4,13:48:00,65,0,14:08:00
231,07-10-2022,4,20:25:00,11,0,20:45:00
231,28-07-2020,1,19:26:00,62,0,19:46:00
231,04-09-2022,6,11:19:00,123,0,11:39:00
231,16-06-2021,2,11:15:00,50,0,11:35:00
231,12-11-2021,4,20:47:00,15,0,21:07:00
231,27-03-2021,5,18:47:00,14,0,19:07:00
231,03-03-2022,3,19:30:00,113,0,19:50:00
231,11-12-2022,6,10:50:00,44,0,11:10:00
231,11-04-2022,0,18:45:00,11,0,19:05:00
231,21-12-2020,0,14:59:00,127,0,15:19:00
231,05-02-2022,5,11:50:00,44,0,12:10:00
231,02-05-2020,5,19:53:00,23,0,20:13:00
231,08-09-2020,1,15:53:00,24,0,16:13:00
231,06-12-2021,0,08:29:00,112,0,08:49:00
231,25-11-2020,2,09:08:00,16,0,09:28:00
231,27-03-2020,4,10:47:00,110,0,11:07:00
231,14-07-2020,1,08:17:00,77,0,08:37:00
231,31-07-2020,4,09:00:00,1,0,09:20:00
231,11-12-2022,6,13:00:00,0,0,13:20:00
231,10-06-2020,2,08:41:00,131,0,09:01:00
231,15-08-2022,0,16:01:00,5,0,16:21:00
231,21-02-2022,0,08:46:00,62,0,09:06:00
